iter	Passed	Remaining
0	1	188
1	3	165
2	4	146
3	5	131
4	6	126
5	7	121
6	8	117
7	9	114
8	11	111
9	12	109
10	13	107
11	14	105
12	15	103
13	16	102
14	18	102
15	19	101
16	20	99
17	21	97
18	22	96
19	23	94
20	24	93
21	25	90
22	26	88
23	27	85
24	27	83
25	28	82
26	29	80
27	30	79
28	31	77
29	32	76
30	33	75
31	34	73
32	35	72
33	36	70
34	37	68
35	37	67
36	38	65
37	39	64
38	40	63
39	41	61
40	41	60
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	52	45
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	33
65	62	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	75	17
81	76	16
82	78	15
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	91	0
